strategy_id;strategy_name
S1;be
S3;reach
S5;advertise be
S6;spend be
S7;project reach
S8;receive type
S9;mobile advertise be
S13;see
S14;ask
S15;respond
S16;consumer have
S17;tap
S18;person s
S19;brain —
S20;conscious brain —
S23;expend
S24;activity according
S25;activity be
S27;devote
S29;developing
S31;require tap
S32;impression require tap
S35;neurological activity be
S36;activity be readily
S37;eye-tracking
S40;company be
S41;extending
S44;technology work
S45;predict
S47;page
S49;deploy
S50;feature eye-tracking
S51;software page
S52;software page down
S53;assuage
S56;company develop
S57;technology require
S61;analyse
S62;resource do
S63;agency have
S64;resource do advertiser
S66;interest consider
S69;hover
S74;equivalent hover
S75;mobile be
S76;screen pull
S77;screen pull actually
S82;signal
S83;action know
S84;ios be
S85;ios be not
S86;improving
S88;demand
S89;role
S90;ecosystem continue
S96;publisher benefit
S99;ad be simply
S100;benefit
S103;impression have
S104;value be
S105;value be only
S106;shouldn
S108;waste
S110;discount
S111;impressions shouldn
S112;t be
S114;show
S115;influence
S116;study show
S117;impression influence
S118;platform
S122;analytics platform
S123;ad be
S124;certain ad be
S126;video
S127;view
S128;viewability be
S129;be view
S131;need
S132;help
S133;gauge
S134;mean
S135;technique be
S136;industry gauge
S137;impression mean
S138;viewable impression mean
S140;flaw
S142;measurement be
S144;earn
S145;rat
S146;provide
S147;faf have
S148;broker rat
S149;broker provide
S150;american faf have
S151;average broker rat
S153;top
S154;company report
S155;quarter top
S156;post
S157;firm post
S159;compare
S160;business earn
S161;quarter compare
S163;revenue wa
S164;revenue wa up
S165;anticipate
S167;analyst anticipate
S168;disclose
S170;dividend wa
S171;quarterly dividend wa
S173;issue
S174;record be
S175;annualized
S176;represent annualized
S180;give
S181;analyst have
S182;recommendation have
S183;hold recommendation have
S185;occur
S186;news sell
S187;company ’
S188;transaction occur
S189;american news sell
S192;wa disclose
S193;file be
S194;legal file be
S195;downgrade
S197;faf be
S198;american faf be
S200;subsidiary be
S201;stock
S203;add
S204;probably
S208;skipper
S210;bite
S212;fit
S213;empathize
S214;e-mail
S215;journalist
S217;announce
S218;admit
S221;piece
S223;way respond
S224;attentive
S226;story be
S227;story
S230;mobile
S231;application
S233;far
S234;shoe
S235;several
S236;so far
S239;have other
S240;do have other
S242;charity
S245;wa be
S248;someone ask
S249;time someone ask
S252;bath
S255;salt be
S256;police
S259;organise
S260;from
S261;couple
S262;inspire
S263;story inspire
S268;word
S269;be word
S273;um wa
S274;event
S279;welcome
S280;bigger
S281;city
S282;area
S289;sign
S291;t know
S294;lady
S297;smaller
S298;steadfastly
S299;chief
S301;read chief
S302;long-term
S304;indeed
S308;really
S309;later really
S310;detective
S317;even admit
S322;personally
S323;luck
S324;be luck
S330;history
S331;bite history
S333;intrigue
S335;hard
S337;fascinate
S342;course film
S345;instance
S347;exactly
S349;necessarily
S353;here
S355;survivor
S357;well
S358;based
S359;train
S360;nuclear
S361;wa train
S363;finance
S365;service-support
S366;premier service-support
S372;admire
S375;sometimes
S377;wasn
S379;international
S380;call international
S383;significantly
S385;trademarks
S386;pc
S388;shoot
S391;emerge happy
S392;commit
S394;duty
S396;next day
S399;collapse
S405;life be
S406;ever didn
S407;change ever didn
S408;hero
S414;pair
S417;oriental
S422;mare
S431;dress
S439;information involve
S440;forward-looking information involve
S441;proceed
S444;sale
S445;information
S446;more information
S455;survive
S456;affiliate survive
S463;counting
S464;transgender
S470;outfit
S471;occasion
S474;whole
S479;often
S482;hallquist
S483;christine
S488;stay friend
S497;neighbour
S503;real name
S513;concern “
S515;main
S516;voice
S517;be main
S524;have turn
S530;community
S532;international community
S533;agreement
S535;be get
S537;oneness
S540;get people
S542;force u
S543;be force u
S544;alliance
S547;beast
S551;so take
S553;empire
S554;coffee empire
S557;standard
S558;bar
S559;variety
S560;feature variety
S570;fyi
S571;appropriate
S575;duo
S576;dashing duo
S579;seem be
S581;unload
S582;spot unload
S586;forward-looking information
S587;also include
S588;forward-looking
S590;generally forward-looking
S591;information be
S595;actual
S597;uncertainty other
S598;forward-looking information be
S599;reasonable
S600;estimate
S603;base reasonable
S604;be base reasonable
S605;belief
S608;reflect such
S609;expectation reflect such
S611;team
S613;collaboratively
S615;work collaboratively
S625;was
S630;citing
S631;lift
S632;contempt
S633;certainly
S634;recently
S639;license
S640;not issue
S641;marriage license
S649;chairman
S658;beacon
S659;only beacon
S666;club have
S676;given side
S684;oscillate
S687;trademark
S688;defiance
S689;manager
S690;offering trademark
S691;evidence
S694;venue
S697;say appear
S700;guest
S703;numerous
S713;depression
S715;convince
S716;be convince
S719;sixty-one
S721;lucky
S725;feel lucky
S726;spring
S727;daughter
S730;withdrawal
S735;wa hospital
S739;realise
S740;chair
S741;disorder
S744;senator
S748;pelosi-ism
S749;original
S750;semi-final
S753;dream
S755;angel
S757;almost
S759;record
S762;grandpa
S766;crack
S767;bone
S769;key
S771;musical
S772;be musical
S785;era
S787;be so
S789;half-scottish
S795;ice
S796;gradually
S799;album radio
S800;album radio much
S807;mess
S811;motorway
S812;travelling
S814;fifty
S816;giant
S823;slowly
S824;sadly
S827;woman grab
S830;opponent
S832;melody
S833;given
S839;replay wa
S841;agonise
S842;fortune
S845;seek fortune
S847;newspaper
S855;wan
S857;reiterate
S858;ing
S863;traveling
S870;aircraft also
S871;however aircraft also
S873;indicate military
S874;reports indicate military
S875;ultimate
S876;intelligence
S877;official
S879;challenge
S881;maintain
S882;presence
S887;fall point
S890;authorities
S892;commitment
S893;longtime
S895;urge
S897;helicopters be
S899;commuter
S900;service local
S901;manhunt
S902;heavily
S904;lookout
S905;join search
S906;sniper lookout
S907;reports
S909;32-year
S912;suggest wa
S913;helicopter be
S915;dismiss
S916;anticipatory
S917;investigations be
S926;apt
S928;price
S935;magazine “
S937;magazine/pa
S939;cusp
S940;transformation
S943;freedom
S944;expression
S945;curtail freedom
S946;joint
S948;arrive
S950;meal
S952;sit meal
S954;week
S956;purpose
S957;mission
S958;memory s
S959;food
S960;importance food
S963;dad
S967;effectively
S971;few
S973;sick
S976;child be
S977;more “
S980;help child
S984;drug
S985;nevertheless
S987;law
S988;pharmacy
S989;compound pharmacy
S992;do be
S995;voluntary
S997;registration be
S998;medical
S1000;doctor
S1001;have
S1002;find
S1003;compound
S1005;pharmaceutical
S1007;manufacturer
S1008;medication pharmaceutical
S1009;note
S1010;prescription
S1011;most prescription
S1012;yet
S1013;most
S1015;god-fearing
S1016;self-employed
S1017;love
S1018;play
S1019;friendship
S1021;thing
S1022;start
S1023;little
S1024;flesh
S1026;yahoo.co.ukwilliam
S1027;cute
S1028;be cute
S1029;tribe.reach
S1030;mattwilliam1252
S1032;recipes be
S1033;tell u
S1034;today
S1036;quite
S1037;possible
S1039;due
S1040;fact
S1041;secret
S1042;review
S1043;transition review
S1044;convenient transition review
S1045;put
S1046;way
S1047;tendency
S1048;difficult
S1049;solve
S1050;natural
S1051;say
S1052;year
S1053;remind
S1054;problem
S1055;not
S1056;result
S1057;think
S1058;do
S1060;same
S1062;tremendous
S1063;first
S1064;next
S1065;mutual
S1069;so
S1070;contrary
S1071;especially so
S1072;analyst
S1074;course analyst
S1075;experience
S1077;long
S1080;entirely
S1081;market
S1082;index
S1083;only
S1084;general market
S1085;contrarian
S1086;representation
S1087;well-known
S1088;refresh
S1090;final
S1094;do not
S1095;state
S1096;differences
S1097;further state
S1099;conclude be
S1100;marriage
S1101;commercial
S1103;same-sex
S1104;collins
S1106;fall
S1108;n't
S1109;hold
S1110;seem hold
S1111;report
S1112;senior
S1113;chat
S1114;jailed
S1115;lawyer jailed
S1116;read
S1118;wa
S1119;even
S1120;extremism
S1121;ironic
S1122;also
S1125;achieve
S1126;actually achieve
S1127;witch
S1128;trial
S1129;answer
S1130;reason
S1131;name
S1132;get
S1134;just
S1136;attempt
S1137;grasp
S1140;writer
S1144;nefas
S1147;go
S1148;character
S1149;upgrade
S1150;focus
S1151;defendant focus
S1152;go defendant focus
S1153;age
S1157;girl
S1158;many
S1159;conspiracy
S1160;rape conspiracy
S1162;national
S1164;sentence
S1165;sentencing
S1167;head
S1170;now
S1173;game
S1174;3-and-out
S1175;wa start
S1176;hold 3-and-out
S1178;drive
S1179;stall drive
S1180;finally
S1181;follow
S1182;people
S1183;be people
