strategy_name
customer service
generate customer order
cancel insufficient-stock order
customer service
customer service
generate customer order
local stock control
customer order delivery
sale register
sales statistics
customer service
generate customer order
local stock control
customer order delivery
sale register
home sale delivery
customer service
generate customer order
local stock control
customer order delivery
billing custom sale
customer service
generate customer order
local stock control
complete customer order
remote stock control
emit customer quotation
customer service
generate customer order
local stock control
complete customer order
remote stock control
emit customer quotation
cancel customer order
customer service
generate customer order
local stock control
complete customer order
remote stock control
emit customer quotation
customer order delivery
sale register
sales statistics
home sale delivery
