strategy_name;weight
be;0.0
reach;0.0
advertise be;0.0
spend be;0.0
project reach;0.0
receive type;0.0
mobile advertise be;0.0
see;0.0
ask;0.0
respond;0.0
consumer have;0.0
tap;0.0
person s;0.0
brain —;0.0
conscious brain —;0.0
expend;0.0
activity according;0.0
activity be;0.0
devote;0.0
developing;0.0
require tap;0.0
impression require tap;0.0
neurological activity be;0.0
activity be readily;0.0
eye-tracking;0.0
company be;0.0
extending;0.0
technology work;0.0
predict;0.0
page;0.0
deploy;0.0
feature eye-tracking;0.0
software page;0.0
software page down;0.0
assuage;0.0
company develop;0.0
technology require;0.0
analyse;0.0
resource do;0.0
agency have;0.0
resource do advertiser;0.0
interest consider;0.0
hover;0.0
equivalent hover;0.0
mobile be;0.0
screen pull;0.0
screen pull actually;0.0
signal;0.0
action know;0.0
ios be;0.0
ios be not;0.0
improving;0.0
demand;0.0
role;0.0
ecosystem continue;0.0
publisher benefit;0.0
ad be simply;0.0
benefit;0.0
impression have;0.0
value be;0.0
value be only;0.0
shouldn;0.0
waste;0.0
discount;0.0
impressions shouldn;0.0
t be;0.0
show;0.0
influence;0.0
study show;0.0
impression influence;0.0
platform;0.0
analytics platform;0.0
ad be;0.0
certain ad be;0.0
video;0.0
view;0.0
viewability be;0.0
be view;0.0
need;0.0
help;0.0
gauge;0.0
mean;0.0
technique be;0.0
industry gauge;0.0
impression mean;0.0
viewable impression mean;0.0
flaw;0.0
measurement be;0.0
earn;0.0
rat;0.0
provide;0.0
faf have;0.0
broker rat;0.0
broker provide;0.0
american faf have;0.0
average broker rat;0.0
top;0.0
company report;0.0
quarter top;0.0
post;0.0
firm post;0.0
compare;0.0
business earn;0.0
quarter compare;0.0
revenue wa;0.0
revenue wa up;0.0
anticipate;0.0
analyst anticipate;0.0
disclose;0.0
dividend wa;0.0
quarterly dividend wa;0.0
issue;0.0
record be;0.0
annualized;0.0
represent annualized;0.0
give;0.0
analyst have;0.0
recommendation have;0.0
hold recommendation have;0.0
occur;0.0
news sell;0.16666666666666666
company ’;0.0
transaction occur;0.0
american news sell;0.25
wa disclose;0.0
file be;0.0
legal file be;0.0
downgrade;0.0
faf be;0.0
american faf be;0.0
subsidiary be;0.0
stock;0.0
add;0.0
probably;0.0
skipper;0.0
bite;0.0
fit;0.0
empathize;0.0
e-mail;0.0
journalist;0.0
announce;0.0
admit;0.0
piece;0.0
way respond;0.0
attentive;0.0
story be;0.0
story;0.0
mobile;0.0
application;0.0
far;0.0
shoe;0.0
several;0.0
so far;0.0
have other;0.0
do have other;0.0
charity;0.0
wa be;0.0
someone ask;0.0
time someone ask;0.0
bath;0.0
salt be;0.0
police;0.0
organise;0.0
from;0.0
couple;0.0
inspire;0.0
story inspire;0.0
word;0.0
be word;0.0
um wa;0.0
event;0.0
welcome;0.0
bigger;0.0
city;0.0
area;0.0
sign;0.0
t know;0.0
lady;0.0
smaller;0.0
steadfastly;0.0
chief;0.0
read chief;0.0
long-term;0.0
indeed;0.0
really;0.0
later really;0.0
detective;0.0
even admit;0.0
personally;0.0
luck;0.0
be luck;0.0
history;0.0
bite history;0.0
intrigue;0.0
hard;0.0
fascinate;0.0
course film;0.0
instance;0.0
exactly;0.0
necessarily;0.0
here;0.0
survivor;0.0
well;0.0
based;0.0
train;0.0
nuclear;0.0
wa train;0.0
finance;0.0
service-support;0.0
premier service-support;0.0
admire;0.0
sometimes;0.0
wasn;0.0
international;0.0
call international;0.0
significantly;0.0
trademarks;0.0
pc;0.0
shoot;0.0
emerge happy;0.0
commit;0.0
duty;0.0
next day;0.0
collapse;0.0
life be;0.0
ever didn;0.0
change ever didn;0.0
hero;0.0
pair;0.0
oriental;0.0
mare;0.0
dress;0.0
information involve;0.0
forward-looking information involve;0.0
proceed;0.0
sale;0.16666666666666666
information;0.0
more information;0.0
survive;0.0
affiliate survive;0.0
counting;0.0
transgender;0.0
outfit;0.0
occasion;0.0
whole;0.0
often;0.0
hallquist;0.0
christine;0.0
stay friend;0.0
neighbour;0.0
real name;0.0
concern “;0.0
main;0.0
voice;0.0
be main;0.0
have turn;0.0
community;0.0
international community;0.0
agreement;0.0
be get;0.0
oneness;0.0
get people;0.0
force u;0.0
be force u;0.0
alliance;0.0
beast;0.0
so take;0.0
empire;0.0
coffee empire;0.0
standard;0.0
bar;0.0
variety;0.0
feature variety;0.0
fyi;0.0
appropriate;0.0
duo;0.0
dashing duo;0.0
seem be;0.0
unload;0.0
spot unload;0.0
forward-looking information;0.0
also include;0.0
forward-looking;0.0
generally forward-looking;0.0
information be;0.0
actual;0.0
uncertainty other;0.0
forward-looking information be;0.0
reasonable;0.0
estimate;0.0
base reasonable;0.0
be base reasonable;0.0
belief;0.0
reflect such;0.0
expectation reflect such;0.0
team;0.0
collaboratively;0.0
